BRAND-A Target Achievement 2024 Full Year;;;;;;;;;;;;;;
DEALER CODE;DEALER NAME;January;February;March;April;May;June;July;August;September;October;Nowember;December;2024 Full Year
BA-3-ICA-01;DEALER 1;126%;100%;145%;120%;121%;100%;120%;129%;90%;100%;121%;163%;117%
BA-3-EGE-01;DEALER 2;-;-;-;100%;100%;175%;133%;100%;180%;100%;100%;145%;125%
BA-3-AKD-01;DEALER 3;209%;136%;144%;100%;100%;129%;111%;118%;100%;111%;113%;120%;124%
BA-3-AKD-02;DEALER 4;167%;122%;138%;120%;117%;143%;100%;127%;89%;100%;89%;100%;113%
BA-3-MAR-01;DEALER 5;83%;58%;40%;29%;83%;114%;122%;100%;89%;100%;111%;120%;86%
BA-3-EGE-02;DEALER 6;130%;100%;112%;120%;110%;117%;140%;94%;100%;86%;86%;153%;110%
BA-3-MAR-02;DEALER 7;117%;100%;110%;73%;64%;113%;80%;125%;115%;84%;100%;100%;101%
BA-3-MAR-03;DEALER 8;100%;109%;100%;80%;117%;114%;56%;82%;56%;100%;100%;111%;90%
BA-3-ICA-02;DEALER 9;83%;67%;80%;50%;125%;25%;60%;83%;60%;80%;20%;33%;62%
BA-3-ICA-03;DEALER 10;100%;82%;100%;50%;50%;100%;50%;122%;50%;100%;38%;111%;81%
BA-3-AKD-03;DEALER 11;100%;117%;60%;120%;133%;100%;50%;100%;75%;100%;50%;160%;94%
BA-3-MAR-04;DEALER 12;100%;60%;46%;11%;40%;109%;79%;69%;62%;100%;17%;114%;68%
BA-3-MAR-05;DEALER 13;100%;77%;55%;50%;57%;100%;100%;42%;65%;82%;83%;105%;76%
BA-3-ICA-04;DEALER 14;144%;83%;81%;56%;64%;100%;56%;100%;87%;80%;69%;128%;89%
BA-3-AKD-04;DEALER 15;130%;115%;129%;120%;117%;107%;100%;105%;82%;106%;113%;111%;109%
BA-3-MAR-06;DEALER 16;135%;100%;125%;80%;100%;119%;100%;113%;85%;100%;100%;120%;106%
BA-3-MAR-07;DEALER 17;78%;117%;80%;80%;100%;100%;95%;92%;80%;111%;100%;100%;94%
BA-3-MAR-08;DEALER 18;100%;70%;100%;42%;21%;88%;45%;104%;80%;65%;78%;105%;77%
BA-3-GDA-01;DEALER 19;100%;56%;100%;60%;17%;100%;50%;100%;125%;114%;100%;100%;86%
BA-3-KAR-01;DEALER 20;100%;120%;25%;67%;0%;100%;50%;60%;125%;25%;100%;80%;72%
BA-3-EGE-03;DEALER 21;100%;100%;125%;100%;50%;117%;100%;100%;13%;100%;100%;113%;92%
BA-3-EGE-04;DEALER 22;100%;100%;120%;100%;50%;125%;120%;117%;140%;100%;0%;113%;95%
;;;;;;;;;;;;;;
;Toplam;116%;94%;99%;72%;79%;108%;90%;100%;85%;94%;86%;116%;95%
