;TARGET;;;;BRAND-A CLOSING B2C ;;;;;;;;;;;BRAND-A CLOSING B2B;;;;;;;;
DEALER CODE;DEALER NAME;%;BRAND-A;;DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;Model B2;Model C;Model D;TOTAL;%;;DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;Model B2;Model C;Model D;TOTAL
BA-3-ICA-01;DEALER 1;7,75%;17;;BA-3-ICA-01;DEALER 1;8;1;11;;1;;21;124%;;BA-3-ICA-01;DEALER 1;;;;;;;0
BA-3-EGE-01;DEALER 2;4,50%;10;;BA-3-EGE-01;DEALER 2;2;2;6;;1;;11;110%;;BA-3-EGE-01;DEALER 2;;;;;;;0
BA-3-AKD-01;DEALER 3;3,50%;8;;BA-3-AKD-01;DEALER 3;4;1;6;;;;11;138%;;BA-3-AKD-01;DEALER 3;;;;;;;0
BA-3-AKD-02;DEALER 4;3,50%;8;;BA-3-AKD-02;DEALER 4;3;;6;;;;9;113%;;BA-3-AKD-02;DEALER 4;;;;;;;0
BA-3-MAR-01;DEALER 5;3,00%;7;;BA-3-MAR-01;DEALER 5;1;2;1;;;;4;57%;;BA-3-MAR-01;DEALER 5;;;;;;;0
BA-3-EGE-02;DEALER 6;5,50%;12;;BA-3-EGE-02;DEALER 6;4;2;9;;1;;16;133%;;BA-3-EGE-02;DEALER 6;;;;;;;0
BA-3-MAR-02;DEALER 7;7,50%;17;;BA-3-MAR-02;DEALER 7;14;2;4;;2;;22;129%;;BA-3-MAR-02;DEALER 7;;;;;;;0
BA-3-MAR-03;DEALER 8;3,00%;7;;BA-3-MAR-03;DEALER 8;5;1;3;;;;9;129%;;BA-3-MAR-03;DEALER 8;;;;;;;0
BA-3-ICA-02;DEALER 9;1,50%;3;;BA-3-ICA-02;DEALER 9;3;;;;;;3;100%;;BA-3-ICA-02;DEALER 9;;;;;;;0
BA-3-ICA-03;DEALER 10;2,50%;6;;BA-3-ICA-03;DEALER 10;5;;1;;;;6;100%;;BA-3-ICA-03;DEALER 10;;;;;;;0
BA-3-AKD-03;DEALER 11;1,50%;3;;BA-3-AKD-03;DEALER 11;;;3;;;;3;100%;;BA-3-AKD-03;DEALER 11;;;;;;;0
BA-3-MAR-04;DEALER 12;4,00%;9;;BA-3-MAR-04;DEALER 12;4;1;4;;;;9;100%;;BA-3-MAR-04;DEALER 12;;;;;;;0
BA-3-MAR-05;DEALER 13;6,75%;15;;BA-3-MAR-05;DEALER 13;3;;7;;1;2;13;87%;;BA-3-MAR-05;DEALER 13;;;;;;;0
BA-3-ICA-04;DEALER 14;6,00%;13;;BA-3-ICA-04;DEALER 14;6;2;7;;1;;16;123%;;BA-3-ICA-04;DEALER 14;;;;;;;0
BA-3-AKD-04;DEALER 15;6,50%;14;;BA-3-AKD-04;DEALER 15;3;;10;;1;;14;100%;;BA-3-AKD-04;DEALER 15;;;;;;;0
BA-3-MAR-06;DEALER 16;7,50%;17;;BA-3-MAR-06;DEALER 16;3;3;10;;1;;17;100%;;BA-3-MAR-06;DEALER 16;;;;;;;0
BA-3-MAR-07;DEALER 17;7,50%;17;;BA-3-MAR-07;DEALER 17;7;1;6;;2;1;17;100%;;BA-3-MAR-07;DEALER 17;;;;;10;;10
BA-3-MAR-08;DEALER 18;6,75%;15;;BA-3-MAR-08;DEALER 18;9;1;5;;2;1;18;120%;;BA-3-MAR-08;DEALER 18;;;;;;;0
BA-3-GDA-01;DEALER 19;3,00%;7;;BA-3-GDA-01;DEALER 19;1;1;6;;;;8;114%;;BA-3-GDA-01;DEALER 19;;;;;;;0
BA-3-KAR-01;DEALER 20;1,50%;3;;BA-3-KAR-01;DEALER 20;2;;2;;;;4;133%;;BA-3-KAR-01;DEALER 20;;;;;;;0
BA-3-EGE-03;DEALER 21;2,50%;6;;BA-3-EGE-03;DEALER 21;2;2;4;;;;8;133%;;BA-3-EGE-03;DEALER 21;;;;;;;0
BA-3-EGE-04;DEALER 22;2,50%;6;;BA-3-EGE-04;DEALER 22;1;2;5;;1;;9;150%;;BA-3-EGE-04;DEALER 22;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;;;
TARGET;B2C;;220;;ACTUAL;B2C;90;24;116;0;14;4;248;113%;;;;;;;;;;
;B2B;;30;;;B2B;0;0;0;0;10;0;10;33%;;;;;;;;;;
;TOTAL;;250;;;TR;90;24;116;0;24;4;258;;;;;;;;;;;
