;TARGET;;;;BRAND-A CLOSING B2C ;;;;;;;;;;;BRAND-A CLOSING B2B;;;;;;;;
DEALER CODE;DEALER NAME;%;BRAND-A;;DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;Model B2;Model C;Model D;TOTAL;%;;DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;Model B2;Model C;Model D;TOTAL
BA-3-ICA-01;DEALER 1;7,75%;14;;BA-3-ICA-01;DEALER 1;9;3;9;;;;21;150%;;BA-3-ICA-01;DEALER 1;;;;;;;0
BA-3-EGE-01;DEALER 2;4,50%;9;;BA-3-EGE-01;DEALER 2;9;;;;;;9;100%;;BA-3-EGE-01;DEALER 2;;;;;;;0
BA-3-AKD-01;DEALER 3;3,50%;7;;BA-3-AKD-01;DEALER 3;7;;;;;;7;100%;;BA-3-AKD-01;DEALER 3;;;;;;;0
BA-3-AKD-02;DEALER 4;3,50%;7;;BA-3-AKD-02;DEALER 4;4;;3;;;;7;100%;;BA-3-AKD-02;DEALER 4;;;;;;;0
BA-3-MAR-01;DEALER 5;3,00%;6;;BA-3-MAR-01;DEALER 5;3;1;2;;;;6;100%;;BA-3-MAR-01;DEALER 5;;;;;;;0
BA-3-EGE-02;DEALER 6;5,50%;10;;BA-3-EGE-02;DEALER 6;7;1;4;;;;12;120%;;BA-3-EGE-02;DEALER 6;;;;;;;0
BA-3-MAR-02;DEALER 7;7,50%;14;;BA-3-MAR-02;DEALER 7;6;2;4;;;;12;86%;;BA-3-MAR-02;DEALER 7;10;1;14;;;;25
BA-3-MAR-03;DEALER 8;3,00%;6;;BA-3-MAR-03;DEALER 8;4;;2;;;1;7;117%;;BA-3-MAR-03;DEALER 8;2;;;;;;2
BA-3-ICA-02;DEALER 9;1,50%;3;;BA-3-ICA-02;DEALER 9;1;1;1;;;;3;100%;;BA-3-ICA-02;DEALER 9;;;;;;;0
BA-3-ICA-03;DEALER 10;2,50%;5;;BA-3-ICA-03;DEALER 10;2;1;2;;;;5;100%;;BA-3-ICA-03;DEALER 10;;;;;;;0
BA-3-AKD-03;DEALER 11;1,50%;3;;BA-3-AKD-03;DEALER 11;;2;1;;;;3;100%;;BA-3-AKD-03;DEALER 11;;;;;;;0
BA-3-MAR-04;DEALER 12;4,00%;8;;BA-3-MAR-04;DEALER 12;4;1;3;;;;8;100%;;BA-3-MAR-04;DEALER 12;;;;;;;0
BA-3-MAR-05;DEALER 13;6,75%;13;;BA-3-MAR-05;DEALER 13;9;;3;;;1;13;100%;;BA-3-MAR-05;DEALER 13;;;;;;;0
BA-3-ICA-04;DEALER 14;6,00%;12;;BA-3-ICA-04;DEALER 14;8;1;1;;;;10;83%;;BA-3-ICA-04;DEALER 14;;;;;;;0
BA-3-AKD-04;DEALER 15;6,50%;13;;BA-3-AKD-04;DEALER 15;8;1;1;;1;;11;85%;;BA-3-AKD-04;DEALER 15;;;;;;;0
BA-3-MAR-06;DEALER 16;7,50%;14;;BA-3-MAR-06;DEALER 16;3;;6;;;2;11;79%;;BA-3-MAR-06;DEALER 16;;;;;;;0
BA-3-MAR-07;DEALER 17;7,50%;14;;BA-3-MAR-07;DEALER 17;6;2;3;;;;11;79%;;BA-3-MAR-07;DEALER 17;22;10;1;;1;;34
BA-3-MAR-08;DEALER 18;6,75%;13;;BA-3-MAR-08;DEALER 18;4;;4;;;;8;62%;;BA-3-MAR-08;DEALER 18;;;;;;;0
BA-3-GDA-01;DEALER 19;3,00%;6;;BA-3-GDA-01;DEALER 19;1;3;3;;;;7;117%;;BA-3-GDA-01;DEALER 19;5;4;;;;;9
BA-3-KAR-01;DEALER 20;1,50%;3;;BA-3-KAR-01;DEALER 20;1;;1;;;;2;67%;;BA-3-KAR-01;DEALER 20;;;;;;;0
BA-3-EGE-03;DEALER 21;2,50%;5;;BA-3-EGE-03;DEALER 21;2;1;1;;1;;5;100%;;BA-3-EGE-03;DEALER 21;;;;;;;0
BA-3-EGE-04;DEALER 22;2,50%;5;;BA-3-EGE-04;DEALER 22;3;1;1;;;;5;100%;;BA-3-EGE-04;DEALER 22;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;;;
TARGET;B2C;;190;;ACTUAL;B2C;101;21;55;0;2;4;183;96%;;;;;;;;;;
;B2B;;20;;;B2B;39;15;15;0;1;0;70;350%;;;;;;;;;;
;TOTAL;;210;;;TR;140;36;70;0;3;4;253;;;;;;;;;;;
