;TARGET;;;;BRAND-A CLOSING B2C ;;;;;;;;;BRAND-A CLOSING B2B;;;;;;
DEALER CODE;DEALER NAME;% Hedef;BRAND-A;;DEALER CODE;DEALER NAME;Model A1;Model A2;Model A3;Model B1;TOTAL;% HG;;DEALER CODE;DEALER NAME;Model A1;Model A2;Model A3;Model B1;TOTAL
BA-3-ICA-01;DEALER 1;7,75%;28;;BA-3-ICA-01;DEALER 1;5;19;3;3;30;107%;;BA-3-ICA-01;DEALER 1;;;;;0
BA-3-EGE-01;DEALER 2;4,50%;14;;BA-3-EGE-01;DEALER 2;2;10;2;;14;100%;;BA-3-EGE-01;DEALER 2;;;;;0
BA-3-AKD-01;DEALER 3;3,50%;12;;BA-3-AKD-01;DEALER 3;;10;2;;12;100%;;BA-3-AKD-01;DEALER 3;;;2;;2
BA-3-AKD-02;DEALER 4;3,50%;13;;BA-3-AKD-02;DEALER 4;2;5;4;2;13;100%;;BA-3-AKD-02;DEALER 4;;;;;0
BA-3-MAR-01;DEALER 5;3,00%;11;;BA-3-MAR-01;DEALER 5;;4;;1;5;45%;;BA-3-MAR-01;DEALER 5;;;;;0
BA-3-EGE-02;DEALER 6;5,50%;18;;BA-3-EGE-02;DEALER 6;2;10;3;3;18;100%;;BA-3-EGE-02;DEALER 6;;;;;0
BA-3-MAR-02;DEALER 7;7,50%;25;;BA-3-MAR-02;DEALER 7;;13;7;5;25;100%;;BA-3-MAR-02;DEALER 7;;2;;;2
BA-3-MAR-03;DEALER 8;3,00%;7;;BA-3-MAR-03;DEALER 8;;2;5;1;8;114%;;BA-3-MAR-03;DEALER 8;;8;;1;9
BA-3-ICA-02;DEALER 9;1,50%;6;;BA-3-ICA-02;DEALER 9;;1;2;1;4;67%;;BA-3-ICA-02;DEALER 9;;;;;0
BA-3-ICA-03;DEALER 10;2,50%;6;;BA-3-ICA-03;DEALER 10;;3;3;1;7;117%;;BA-3-ICA-03;DEALER 10;;5;;;5
BA-3-AKD-03;DEALER 11;1,50%;6;;BA-3-AKD-03;DEALER 11;;;;1;1;17%;;BA-3-AKD-03;DEALER 11;;;;;0
BA-3-MAR-04;DEALER 12;4,00%;14;;BA-3-MAR-04;DEALER 12;2;2;;2;6;43%;;BA-3-MAR-04;DEALER 12;;;;;0
BA-3-MAR-05;DEALER 13;6,75%;24;;BA-3-MAR-05;DEALER 13;3;10;3;8;24;100%;;BA-3-MAR-05;DEALER 13;;;;;0
BA-3-ICA-04;DEALER 14;6,00%;21;;BA-3-ICA-04;DEALER 14;1;14;5;1;21;100%;;BA-3-ICA-04;DEALER 14;;;;;0
BA-3-AKD-04;DEALER 15;6,50%;23;;BA-3-AKD-04;DEALER 15;;19;4;;23;100%;;BA-3-AKD-04;DEALER 15;;;;;0
BA-3-MAR-06;DEALER 16;7,50%;26;;BA-3-MAR-06;DEALER 16;3;8;1;2;14;54%;;BA-3-MAR-06;DEALER 16;;;;;0
BA-3-MAR-07;DEALER 17;7,50%;25;;BA-3-MAR-07;DEALER 17;2;12;4;2;20;80%;;BA-3-MAR-07;DEALER 17;;2;;;2
BA-3-MAR-08;DEALER 18;6,75%;24;;BA-3-MAR-08;DEALER 18;6;11;3;4;24;100%;;BA-3-MAR-08;DEALER 18;;1;;;1
BA-3-GDA-01;DEALER 19;3,00%;6;;BA-3-GDA-01;DEALER 19;;6;1;;7;117%;;BA-3-GDA-01;DEALER 19;;2;1;1;4
BA-3-KAR-01;DEALER 20;1,50%;6;;BA-3-KAR-01;DEALER 20;2;;;;2;33%;;BA-3-KAR-01;DEALER 20;;;;;0
BA-3-EGE-03;DEALER 21;2,50%;9;;BA-3-EGE-03;DEALER 21;;7;1;1;9;100%;;BA-3-EGE-03;DEALER 21;;;;;0
BA-3-EGE-04;DEALER 22;2,50%;8;;BA-3-EGE-04;DEALER 22;;1;6;1;8;100%;;BA-3-EGE-04;DEALER 22;;;;;0
;;;;;;;;;;;;;;;;;;;;
TARGET;B2C;;332;;ACTUAL;B2C;30;167;59;39;295;89%;;;;;;;;
;B2B;;20;;;B2B;0;20;3;2;25;125%;;;;;;;;
;TOTAL;;352;;;TR;30;187;62;41;320;;;;;;;;;
