;TARGET;;;;;BRAND-A CLOSING B2C ;;;;;;;;;BRAND-A CLOSING B2B;;;;;
DEALER CODE;DEALER NAME;% Hedef;BRAND-A;;DEALER CODE;DEALER NAME;Model A1;Model A2;Model A3;Model B1;TOPLAM;% HG;;DEALER CODE;DEALER NAME;Model A1;Model A2;Model A3;Model B1;TOPLAM
BA-3-ICA-01;DEALER 1;7,75%;21;;BA-3-ICA-01;DEALER 1;1;20;1;4;26;124%;;BA-3-ICA-01;DEALER 1;;;;4;4
BA-3-EGE-01;DEALER 2;4,50%;11;;BA-3-EGE-01;DEALER 2;0;4;6;1;11;100%;;BA-3-EGE-01;DEALER 2;;;;;0
BA-3-AKD-01;DEALER 3;3,50%;8;;BA-3-AKD-01;DEALER 3;0;9;1;2;12;150%;;BA-3-AKD-01;DEALER 3;;;;2;2
BA-3-AKD-02;DEALER 4;3,50%;9;;BA-3-AKD-02;DEALER 4;1;3;2;3;9;100%;;BA-3-AKD-02;DEALER 4;;;;3;3
BA-3-MAR-01;DEALER 5;3,00%;8;;BA-3-MAR-01;DEALER 5;1;9;0;0;10;125%;;BA-3-MAR-01;DEALER 5;;;;;0
BA-3-EGE-02;DEALER 6;5,50%;14;;BA-3-EGE-02;DEALER 6;0;11;1;2;14;100%;;BA-3-EGE-02;DEALER 6;;;;;0
BA-3-MAR-02;DEALER 7;7,50%;19;;BA-3-MAR-02;DEALER 7;1;13;3;3;20;105%;;BA-3-MAR-02;DEALER 7;;;;5;5
BA-3-MAR-03;DEALER 8;3,00%;7;;BA-3-MAR-03;DEALER 8;1;3;0;1;5;71%;;BA-3-MAR-03;DEALER 8;;;;;0
BA-3-ICA-02;DEALER 9;1,50%;4;;BA-3-ICA-02;DEALER 9;0;3;0;1;4;100%;;BA-3-ICA-02;DEALER 9;;;;;0
BA-3-ICA-03;DEALER 10;2,50%;6;;BA-3-ICA-03;DEALER 10;0;7;2;1;10;167%;;BA-3-ICA-03;DEALER 10;;;;;0
BA-3-AKD-03;DEALER 11;1,50%;4;;BA-3-AKD-03;DEALER 11;0;0;0;1;1;25%;;BA-3-AKD-03;DEALER 11;;;;;0
BA-3-MAR-04;DEALER 12;4,00%;10;;BA-3-MAR-04;DEALER 12;1;5;0;2;8;80%;;BA-3-MAR-04;DEALER 12;;;;;0
BA-3-MAR-05;DEALER 13;6,75%;18;;BA-3-MAR-05;DEALER 13;0;14;1;4;19;106%;;BA-3-MAR-05;DEALER 13;;;;;0
BA-3-ICA-04;DEALER 14;6,00%;15;;BA-3-ICA-04;DEALER 14;2;16;0;2;20;133%;;BA-3-ICA-04;DEALER 14;;;;;0
BA-3-AKD-04;DEALER 15;6,50%;17;;BA-3-AKD-04;DEALER 15;1;14;0;3;18;106%;;BA-3-AKD-04;DEALER 15;;;;;0
BA-3-MAR-06;DEALER 16;7,50%;19;;BA-3-MAR-06;DEALER 16;0;13;2;8;23;121%;;BA-3-MAR-06;DEALER 16;;;;;0
BA-3-MAR-07;DEALER 17;7,50%;19;;BA-3-MAR-07;DEALER 17;0;10;4;9;23;121%;;BA-3-MAR-07;DEALER 17;;19;2;1;22
BA-3-MAR-08;DEALER 18;6,75%;17;;BA-3-MAR-08;DEALER 18;0;7;0;3;10;59%;;BA-3-MAR-08;DEALER 18;;;;;0
BA-3-GDA-01;DEALER 19;3,00%;7;;BA-3-GDA-01;DEALER 19;0;3;1;1;5;71%;;BA-3-GDA-01;DEALER 19;;;;;0
BA-3-KAR-01;DEALER 20;1,50%;4;;BA-3-KAR-01;DEALER 20;1;5;0;1;7;175%;;BA-3-KAR-01;DEALER 20;;;;;0
BA-3-EGE-03;DEALER 21;2,50%;7;;BA-3-EGE-03;DEALER 21;0;6;1;0;7;100%;;BA-3-EGE-03;DEALER 21;;;;2;2
BA-3-EGE-04;DEALER 22;2,50%;7;;BA-3-EGE-04;DEALER 22;1;4;1;2;8;114%;;BA-3-EGE-04;DEALER 22;;;;2;2
;;;;;;;;;;;;;;;;;;;;
TARGET;B2C;;251;;ACTUAL;B2C;11;179;26;54;270;108%;;;;;;;;
;B2B;;30;;;B2B;0;19;2;19;40;133%;;;;;;;;
;TOTAL;;281;;;TR;11;198;28;73;310;;;;;;;;;
