;TARGET;;;;BRAND-A CLOSING B2C ;;;;;;;;;BRAND-A CLOSING B2B;;;;;;
DEALER CODE;DEALER NAME;%;BRAND-A;;DEALER CODE;DEALER NAME;Model A1;Model A2;Model A3;Model B1;TOTAL;% HG;;DEALER CODE;DEALER NAME;Model A1;Model A2;Model A3;Model B1;TOTAL
BA-3-ICA-01;DEALER 1;7,75%;19;;BA-3-ICA-01;DEALER 1;5;16;5;7;33;174%;;BA-3-ICA-01;DEALER 1;;;;;0
BA-3-EGE-01;DEALER 2;4,50%;10;;BA-3-EGE-01;DEALER 2;4;4;1;5;14;140%;;BA-3-EGE-01;DEALER 2;;;;;0
BA-3-AKD-01;DEALER 3;3,50%;8;;BA-3-AKD-01;DEALER 3;1;7;;5;13;163%;;BA-3-AKD-01;DEALER 3;;;;;0
BA-3-AKD-02;DEALER 4;3,50%;8;;BA-3-AKD-02;DEALER 4;;7;1;3;11;138%;;BA-3-AKD-02;DEALER 4;;;;;0
BA-3-MAR-01;DEALER 5;3,00%;7;;BA-3-MAR-01;DEALER 5;1;6;;5;12;171%;;BA-3-MAR-01;DEALER 5;;;;;0
BA-3-EGE-02;DEALER 6;5,50%;13;;BA-3-EGE-02;DEALER 6;4;12;2;5;23;177%;;BA-3-EGE-02;DEALER 6;;;;;0
BA-3-MAR-02;DEALER 7;7,50%;17;;BA-3-MAR-02;DEALER 7;2;7;2;7;18;106%;;BA-3-MAR-02;DEALER 7;;;;;0
BA-3-MAR-03;DEALER 8;3,00%;7;;BA-3-MAR-03;DEALER 8;1;3;1;3;8;114%;;BA-3-MAR-03;DEALER 8;;;;;0
BA-3-ICA-02;DEALER 9;1,50%;4;;BA-3-ICA-02;DEALER 9;;;1;;1;25%;;BA-3-ICA-02;DEALER 9;;;;;0
BA-3-ICA-03;DEALER 10;2,50%;6;;BA-3-ICA-03;DEALER 10;;4;;2;6;100%;;BA-3-ICA-03;DEALER 10;;;;;0
BA-3-AKD-03;DEALER 11;1,50%;4;;BA-3-AKD-03;DEALER 11;;1;;1;2;50%;;BA-3-AKD-03;DEALER 11;;;;;0
BA-3-MAR-04;DEALER 12;4,00%;10;;BA-3-MAR-04;DEALER 12;1;3;1;3;8;80%;;BA-3-MAR-04;DEALER 12;;5;;;5
BA-3-MAR-05;DEALER 13;6,75%;16;;BA-3-MAR-05;DEALER 13;4;9;5;6;24;150%;;BA-3-MAR-05;DEALER 13;;;;;0
BA-3-ICA-04;DEALER 14;6,00%;14;;BA-3-ICA-04;DEALER 14;;18;2;7;27;193%;;BA-3-ICA-04;DEALER 14;;;;;0
BA-3-AKD-04;DEALER 15;6,50%;16;;BA-3-AKD-04;DEALER 15;3;12;1;3;19;119%;;BA-3-AKD-04;DEALER 15;;2;;;2
BA-3-MAR-06;DEALER 16;7,50%;18;;BA-3-MAR-06;DEALER 16;3;7;1;7;18;100%;;BA-3-MAR-06;DEALER 16;;;;;0
BA-3-MAR-07;DEALER 17;7,50%;18;;BA-3-MAR-07;DEALER 17;4;13;3;3;23;128%;;BA-3-MAR-07;DEALER 17;;34;;;34
BA-3-MAR-08;DEALER 18;6,75%;16;;BA-3-MAR-08;DEALER 18;2;13;2;2;19;119%;;BA-3-MAR-08;DEALER 18;;;;;0
BA-3-GDA-01;DEALER 19;3,00%;7;;BA-3-GDA-01;DEALER 19;;1;2;6;9;129%;;BA-3-GDA-01;DEALER 19;;;;;0
BA-3-KAR-01;DEALER 20;1,50%;4;;BA-3-KAR-01;DEALER 20;;3;;1;4;100%;;BA-3-KAR-01;DEALER 20;;;;;0
BA-3-EGE-03;DEALER 21;2,50%;6;;BA-3-EGE-03;DEALER 21;2;3;1;1;7;117%;;BA-3-EGE-03;DEALER 21;;;;;0
BA-3-EGE-04;DEALER 22;2,50%;6;;BA-3-EGE-04;DEALER 22;;7;;1;8;133%;;BA-3-EGE-04;DEALER 22;;1;;;1
;;;;;;;;;;;;;;;;;;;;
TARGET;B2C;;234;;ACTUAL;B2C;37;156;31;83;307;131%;;;;;;;;
;B2B;;45;;;B2B;3;42;0;0;45;100%;;;GROUP-A;3;;;;3
;TOTAL;;279;;;TR;40;198;31;83;352;;;;;;;;;
